Alpha,Gamma,Epsilon,Average Reward
0.8,0.4,0.1,-0.117
0.8,0.4,0.2,-0.092
0.8,0.4,0.3,-0.11
0.8,0.4,0.4,-0.068
0.8,0.4,0.5,-0.13
0.8,0.4,0.6,-0.132
0.8,0.4,0.7,-0.099
0.8,0.4,0.8,-0.148
0.8,0.4,0.9,-0.122
0.8,0.4,1.0,-0.154
0.8,0.5,0.1,-0.103
0.8,0.5,0.2,-0.137
0.8,0.5,0.3,-0.081
0.8,0.5,0.4,-0.14
0.8,0.5,0.5,-0.111
0.8,0.5,0.6,-0.131
0.8,0.5,0.7,-0.168
0.8,0.5,0.8,-0.083
0.8,0.5,0.9,-0.168
0.8,0.5,1.0,-0.153
0.8,0.6,0.1,-0.091
0.8,0.6,0.2,-0.146
0.8,0.6,0.3,-0.107
0.8,0.6,0.4,-0.091
0.8,0.6,0.5,-0.103
0.8,0.6,0.6,-0.083
0.8,0.6,0.7,-0.154
0.8,0.6,0.8,-0.146
0.8,0.6,0.9,-0.146
0.8,0.6,1.0,-0.153
0.8,0.7,0.1,-0.126
0.8,0.7,0.2,-0.108
0.8,0.7,0.3,-0.172
0.8,0.7,0.4,-0.112
0.8,0.7,0.5,-0.118
0.8,0.7,0.6,-0.09
0.8,0.7,0.7,-0.105
0.8,0.7,0.8,-0.17
0.8,0.7,0.9,-0.166
0.8,0.7,1.0,-0.178
0.8,0.8,0.1,-0.147
0.8,0.8,0.2,-0.085
0.8,0.8,0.3,-0.107
0.8,0.8,0.4,-0.1
0.8,0.8,0.5,-0.141
0.8,0.8,0.6,-0.124
0.8,0.8,0.7,-0.096
0.8,0.8,0.8,-0.125
0.8,0.8,0.9,-0.09
0.8,0.8,1.0,-0.161
0.8,0.9,0.1,-0.119
0.8,0.9,0.2,-0.132
0.8,0.9,0.3,-0.067
0.8,0.9,0.4,-0.114
0.8,0.9,0.5,-0.155
0.8,0.9,0.6,-0.149
0.8,0.9,0.7,-0.109
0.8,0.9,0.8,-0.138
0.8,0.9,0.9,-0.119
0.8,0.9,1.0,-0.1
0.8,1.0,0.1,-0.103
0.8,1.0,0.2,-0.081
0.8,1.0,0.3,-0.091
0.8,1.0,0.4,-0.132
0.8,1.0,0.5,-0.13
